"id","ip_usuario","tipo_movimiento","origen","elementos_involucrados","fecha_hora","comentarios"
"20","192.168.1.30","2","Newsletter","btn_ver_tallas","2025-11-01 11:04:15","Interaccion interfaz"
"21","192.168.1.30","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 11:04:26","Navegando catalogo"
"22","192.168.1.30","2","Newsletter","btn_ver_tallas","2025-11-01 11:04:28","Interaccion interfaz"
"23","192.168.1.30","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 11:05:08","Navegando catalogo"
"24","192.168.1.30","2","Newsletter","btn_agregar_carrito","2025-11-01 11:05:10","Interaccion interfaz"
"25","192.168.1.30","4","Newsletter","btn_finalizar_pago_exitoso","2025-11-01 11:05:44","Venta Exitosa"
"26","192.168.1.28","1","Google Ads","Home_Page","2025-11-01 12:30:00","Inicio de sesion"
"27","192.168.1.28","3","Google Ads","vista_Zapatillas_Urban","2025-11-01 12:30:17","Navegando catalogo"
"28","192.168.1.28","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-01 12:30:47","Navegando catalogo"
"29","192.168.1.28","2","Google Ads","btn_agregar_carrito","2025-11-01 12:30:49","Interaccion interfaz"
"30","192.168.1.28","3","Google Ads","vista_Chaqueta_Cuero","2025-11-01 12:31:15","Navegando catalogo"
"31","192.168.1.28","2","Google Ads","img_zoom","2025-11-01 12:31:17","Interaccion interfaz"
"32","192.168.1.28","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-01 12:31:27","Navegando catalogo"
"33","192.168.1.28","5","Google Ads","btn_cancelar_checkout","2025-11-01 12:32:01","Abandono en pago"
"34","192.168.1.25","1","Instagram Bio","Home_Page","2025-11-01 13:42:00","Inicio de sesion"
"35","192.168.1.25","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 13:42:18","Navegando catalogo"
"36","192.168.1.25","2","Instagram Bio","btn_ver_tallas","2025-11-01 13:42:20","Interaccion interfaz"
"37","192.168.1.25","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-01 13:43:00","Navegando catalogo"
"38","192.168.1.25","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 13:43:38","Navegando catalogo"
"39","192.168.1.25","2","Instagram Bio","img_zoom","2025-11-01 13:43:40","Interaccion interfaz"
"40","192.168.1.46","1","Facebook","Home_Page","2025-11-01 15:56:00","Inicio de sesion"
"41","192.168.1.46","3","Facebook","vista_Jean_Slim_Negro","2025-11-01 15:56:21","Navegando catalogo"
"42","192.168.1.46","2","Facebook","btn_ver_tallas","2025-11-01 15:56:23","Interaccion interfaz"
"43","192.168.1.46","3","Facebook","vista_Chaqueta_Cuero","2025-11-01 15:57:06","Navegando catalogo"
"44","192.168.1.46","2","Facebook","btn_agregar_carrito","2025-11-01 15:57:08","Interaccion interfaz"
"45","192.168.1.46","3","Facebook","vista_Chaqueta_Cuero","2025-11-01 15:57:47","Navegando catalogo"
"46","192.168.1.46","3","Facebook","vista_Vestido_Verano_Floral","2025-11-01 15:58:27","Navegando catalogo"
"47","192.168.1.46","2","Facebook","btn_ver_tallas","2025-11-01 15:58:29","Interaccion interfaz"
"48","192.168.1.46","3","Facebook","vista_Chaqueta_Cuero","2025-11-01 15:58:59","Navegando catalogo"
"49","192.168.1.46","2","Facebook","img_zoom","2025-11-01 15:59:01","Interaccion interfaz"
"50","192.168.1.46","4","Facebook","btn_finalizar_pago_exitoso","2025-11-01 15:59:28","Venta Exitosa"
"51","192.168.1.45","1","Instagram Bio","Home_Page","2025-11-01 16:31:00","Inicio de sesion"
"52","192.168.1.45","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-01 16:31:12","Navegando catalogo"
"53","192.168.1.45","2","Instagram Bio","img_zoom","2025-11-01 16:31:14","Interaccion interfaz"
"54","192.168.1.45","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-01 16:31:57","Navegando catalogo"
"55","192.168.1.45","2","Instagram Bio","link_menu_hombres","2025-11-01 16:31:59","Interaccion interfaz"
"56","192.168.1.45","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-01 16:32:17","Navegando catalogo"
"57","192.168.1.45","2","Instagram Bio","img_zoom","2025-11-01 16:32:19","Interaccion interfaz"
"58","192.168.1.45","3","Instagram Bio","vista_Chaqueta_Cuero","2025-11-01 16:32:29","Navegando catalogo"
"59","192.168.1.45","2","Instagram Bio","link_menu_hombres","2025-11-01 16:32:31","Interaccion interfaz"
"60","192.168.1.45","5","Instagram Bio","btn_cancelar_checkout","2025-11-01 16:32:46","Abandono en pago"
"61","192.168.1.38","1","Newsletter","Home_Page","2025-11-01 18:57:00","Inicio de sesion"
"62","192.168.1.38","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 18:57:14","Navegando catalogo"
"63","192.168.1.38","3","Newsletter","vista_Zapatillas_Urban","2025-11-01 18:57:49","Navegando catalogo"
"64","192.168.1.38","2","Newsletter","btn_ver_tallas","2025-11-01 18:57:51","Interaccion interfaz"
"65","192.168.1.38","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-01 18:58:03","Navegando catalogo"
"66","192.168.1.38","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 18:58:38","Navegando catalogo"
"67","192.168.1.38","2","Newsletter","link_menu_hombres","2025-11-01 18:58:40","Interaccion interfaz"
"68","192.168.1.38","5","Newsletter","btn_cancelar_checkout","2025-11-01 18:58:59","Abandono en pago"
"69","192.168.1.18","1","Facebook","Home_Page","2025-11-01 20:57:00","Inicio de sesion"
"70","192.168.1.18","3","Facebook","vista_Vestido_Verano_Floral","2025-11-01 20:57:26","Navegando catalogo"
"71","192.168.1.18","2","Facebook","link_menu_hombres","2025-11-01 20:57:28","Interaccion interfaz"
"72","192.168.1.13","1","Newsletter","Home_Page","2025-11-01 21:53:00","Inicio de sesion"
"73","192.168.1.13","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-01 21:53:08","Navegando catalogo"
"74","192.168.1.13","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-01 21:53:51","Navegando catalogo"
"75","192.168.1.13","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 21:54:31","Navegando catalogo"
"76","192.168.1.13","2","Newsletter","img_zoom","2025-11-01 21:54:33","Interaccion interfaz"
"77","192.168.1.13","3","Newsletter","vista_Jean_Slim_Negro","2025-11-01 21:54:39","Navegando catalogo"
"78","192.168.1.13","2","Newsletter","link_menu_hombres","2025-11-01 21:54:41","Interaccion interfaz"
"79","192.168.1.13","5","Newsletter","btn_cancelar_checkout","2025-11-01 21:55:02","Abandono en pago"
"80","192.168.1.5","1","Newsletter","Home_Page","2025-11-01 23:05:00","Inicio de sesion"
"81","192.168.1.5","3","Newsletter","vista_Chaqueta_Cuero","2025-11-01 23:05:22","Navegando catalogo"
"82","192.168.1.5","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-01 23:05:47","Navegando catalogo"
"83","192.168.1.5","2","Newsletter","link_menu_hombres","2025-11-01 23:05:49","Interaccion interfaz"
"84","192.168.1.5","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-01 23:06:09","Navegando catalogo"
"85","192.168.1.30","1","Newsletter","Home_Page","2025-11-01 23:55:00","Inicio de sesion"
"86","192.168.1.30","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-01 23:55:39","Navegando catalogo"
"87","192.168.1.30","2","Newsletter","btn_ver_tallas","2025-11-01 23:55:41","Interaccion interfaz"
"88","192.168.1.30","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-01 23:56:15","Navegando catalogo"
"89","192.168.1.30","2","Newsletter","btn_ver_tallas","2025-11-01 23:56:17","Interaccion interfaz"
"90","192.168.1.30","3","Newsletter","vista_Jean_Slim_Negro","2025-11-01 23:56:51","Navegando catalogo"
"91","192.168.1.30","2","Newsletter","btn_ver_tallas","2025-11-01 23:56:53","Interaccion interfaz"
"92","192.168.1.30","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-01 23:57:03","Navegando catalogo"
"93","192.168.1.30","5","Newsletter","btn_cancelar_checkout","2025-11-01 23:57:48","Abandono en pago"
"94","192.168.1.13","1","Google Ads","Home_Page","2025-11-02 00:17:00","Inicio de sesion"
"95","192.168.1.13","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 00:17:30","Navegando catalogo"
"96","192.168.1.26","1","Instagram Bio","Home_Page","2025-11-02 01:03:00","Inicio de sesion"
"97","192.168.1.26","3","Instagram Bio","vista_Vestido_Verano_Floral","2025-11-02 01:03:17","Navegando catalogo"
"98","192.168.1.26","2","Instagram Bio","btn_ver_tallas","2025-11-02 01:03:19","Interaccion interfaz"
"99","192.168.1.26","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-02 01:03:27","Navegando catalogo"
"100","192.168.1.26","2","Instagram Bio","link_menu_hombres","2025-11-02 01:03:29","Interaccion interfaz"
"101","192.168.1.26","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-02 01:03:35","Navegando catalogo"
"102","192.168.1.26","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-02 01:03:44","Navegando catalogo"
"103","192.168.1.26","5","Instagram Bio","btn_cancelar_checkout","2025-11-02 01:04:30","Abandono en pago"
"104","192.168.1.20","1","Directo","Home_Page","2025-11-02 03:01:00","Inicio de sesion"
"105","192.168.1.20","3","Directo","vista_Jean_Slim_Negro","2025-11-02 03:01:28","Navegando catalogo"
"106","192.168.1.20","3","Directo","vista_Vestido_Verano_Floral","2025-11-02 03:01:44","Navegando catalogo"
"107","192.168.1.17","1","Facebook","Home_Page","2025-11-02 03:33:00","Inicio de sesion"
"108","192.168.1.17","3","Facebook","vista_Zapatillas_Urban","2025-11-02 03:33:30","Navegando catalogo"
"109","192.168.1.17","3","Facebook","vista_Zapatillas_Urban","2025-11-02 03:33:46","Navegando catalogo"
"110","192.168.1.17","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 03:34:07","Navegando catalogo"
"111","192.168.1.17","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 03:34:34","Navegando catalogo"
"112","192.168.1.17","5","Facebook","btn_cancelar_checkout","2025-11-02 03:34:53","Abandono en pago"
"113","192.168.1.9","1","Facebook","Home_Page","2025-11-02 03:53:00","Inicio de sesion"
"114","192.168.1.9","3","Facebook","vista_Jean_Slim_Negro","2025-11-02 03:53:13","Navegando catalogo"
"115","192.168.1.9","2","Facebook","link_menu_hombres","2025-11-02 03:53:15","Interaccion interfaz"
"116","192.168.1.9","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 03:53:26","Navegando catalogo"
"117","192.168.1.15","1","Google Ads","Home_Page","2025-11-02 05:32:00","Inicio de sesion"
"118","192.168.1.15","3","Google Ads","vista_Chaqueta_Cuero","2025-11-02 05:32:23","Navegando catalogo"
"119","192.168.1.15","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 05:32:33","Navegando catalogo"
"120","192.168.1.15","3","Google Ads","vista_Zapatillas_Urban","2025-11-02 05:33:12","Navegando catalogo"
"121","192.168.1.15","2","Google Ads","btn_agregar_carrito","2025-11-02 05:33:14","Interaccion interfaz"
"122","192.168.1.15","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 05:33:55","Navegando catalogo"
"123","192.168.1.15","2","Google Ads","link_menu_hombres","2025-11-02 05:33:57","Interaccion interfaz"
"124","192.168.1.15","5","Google Ads","btn_cancelar_checkout","2025-11-02 05:34:53","Abandono en pago"
"125","192.168.1.10","1","Directo","Home_Page","2025-11-02 07:29:00","Inicio de sesion"
"126","192.168.1.10","3","Directo","vista_Chaqueta_Cuero","2025-11-02 07:29:40","Navegando catalogo"
"127","192.168.1.10","2","Directo","btn_ver_tallas","2025-11-02 07:29:42","Interaccion interfaz"
"128","192.168.1.10","3","Directo","vista_Camisa_Lino_Blanca","2025-11-02 07:30:24","Navegando catalogo"
"129","192.168.1.10","2","Directo","btn_agregar_carrito","2025-11-02 07:30:26","Interaccion interfaz"
"130","192.168.1.10","3","Directo","vista_Zapatillas_Urban","2025-11-02 07:30:52","Navegando catalogo"
"131","192.168.1.10","3","Directo","vista_Camisa_Lino_Blanca","2025-11-02 07:31:37","Navegando catalogo"
"132","192.168.1.10","3","Directo","vista_Camisa_Lino_Blanca","2025-11-02 07:31:53","Navegando catalogo"
"133","192.168.1.10","4","Directo","btn_finalizar_pago_exitoso","2025-11-02 07:32:14","Venta Exitosa"
"134","192.168.1.48","1","Facebook","Home_Page","2025-11-02 07:50:00","Inicio de sesion"
"135","192.168.1.48","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 07:50:10","Navegando catalogo"
"136","192.168.1.48","2","Facebook","img_zoom","2025-11-02 07:50:12","Interaccion interfaz"
"137","192.168.1.32","1","Google Ads","Home_Page","2025-11-02 09:25:00","Inicio de sesion"
"138","192.168.1.32","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 09:25:41","Navegando catalogo"
"139","192.168.1.32","2","Google Ads","btn_agregar_carrito","2025-11-02 09:25:43","Interaccion interfaz"
"140","192.168.1.32","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-02 09:26:09","Navegando catalogo"
"141","192.168.1.32","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 09:26:35","Navegando catalogo"
"142","192.168.1.32","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 09:27:17","Navegando catalogo"
"143","192.168.1.32","2","Google Ads","btn_agregar_carrito","2025-11-02 09:27:19","Interaccion interfaz"
"144","192.168.1.32","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 09:27:52","Navegando catalogo"
"145","192.168.1.32","2","Google Ads","btn_ver_tallas","2025-11-02 09:27:54","Interaccion interfaz"
"146","192.168.1.32","4","Google Ads","btn_finalizar_pago_exitoso","2025-11-02 09:28:24","Venta Exitosa"
"147","192.168.1.29","1","Google Ads","Home_Page","2025-11-02 09:54:00","Inicio de sesion"
"148","192.168.1.29","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-02 09:54:08","Navegando catalogo"
"149","192.168.1.29","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-02 09:54:39","Navegando catalogo"
"150","192.168.1.29","2","Google Ads","link_menu_hombres","2025-11-02 09:54:41","Interaccion interfaz"
"151","192.168.1.29","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 09:55:01","Navegando catalogo"
"152","192.168.1.29","3","Google Ads","vista_Zapatillas_Urban","2025-11-02 09:55:11","Navegando catalogo"
"153","192.168.1.29","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-02 09:55:45","Navegando catalogo"
"154","192.168.1.29","4","Google Ads","btn_finalizar_pago_exitoso","2025-11-02 09:56:19","Venta Exitosa"
"155","192.168.1.25","1","Directo","Home_Page","2025-11-02 12:40:00","Inicio de sesion"
"156","192.168.1.25","3","Directo","vista_Jean_Slim_Negro","2025-11-02 12:40:17","Navegando catalogo"
"157","192.168.1.25","3","Directo","vista_Vestido_Verano_Floral","2025-11-02 12:40:59","Navegando catalogo"
"158","192.168.1.25","2","Directo","img_zoom","2025-11-02 12:41:01","Interaccion interfaz"
"159","192.168.1.25","3","Directo","vista_Camisa_Lino_Blanca","2025-11-02 12:41:32","Navegando catalogo"
"160","192.168.1.25","2","Directo","img_zoom","2025-11-02 12:41:34","Interaccion interfaz"
"161","192.168.1.25","3","Directo","vista_Chaqueta_Cuero","2025-11-02 12:41:40","Navegando catalogo"
"162","192.168.1.25","2","Directo","btn_ver_tallas","2025-11-02 12:41:42","Interaccion interfaz"
"163","192.168.1.25","5","Directo","btn_cancelar_checkout","2025-11-02 12:42:21","Abandono en pago"
"164","192.168.1.4","1","Google Ads","Home_Page","2025-11-02 13:13:00","Inicio de sesion"
"165","192.168.1.4","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 13:13:17","Navegando catalogo"
"166","192.168.1.4","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 13:13:38","Navegando catalogo"
"167","192.168.1.4","2","Google Ads","img_zoom","2025-11-02 13:13:40","Interaccion interfaz"
"168","192.168.1.37","1","Newsletter","Home_Page","2025-11-02 15:45:00","Inicio de sesion"
"169","192.168.1.37","3","Newsletter","vista_Zapatillas_Urban","2025-11-02 15:45:40","Navegando catalogo"
"170","192.168.1.37","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 15:45:57","Navegando catalogo"
"171","192.168.1.37","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 15:46:29","Navegando catalogo"
"172","192.168.1.37","3","Newsletter","vista_Zapatillas_Urban","2025-11-02 15:47:06","Navegando catalogo"
"173","192.168.1.37","5","Newsletter","btn_cancelar_checkout","2025-11-02 15:47:37","Abandono en pago"
"174","192.168.1.37","1","Google Ads","Home_Page","2025-11-02 16:47:00","Inicio de sesion"
"175","192.168.1.37","3","Google Ads","vista_Zapatillas_Urban","2025-11-02 16:47:41","Navegando catalogo"
"176","192.168.1.37","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 16:48:03","Navegando catalogo"
"177","192.168.1.37","2","Google Ads","btn_ver_tallas","2025-11-02 16:48:05","Interaccion interfaz"
"178","192.168.1.37","1","Facebook","Home_Page","2025-11-02 17:15:00","Inicio de sesion"
"179","192.168.1.37","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 17:15:24","Navegando catalogo"
"180","192.168.1.37","2","Facebook","btn_ver_tallas","2025-11-02 17:15:26","Interaccion interfaz"
"181","192.168.1.16","1","Facebook","Home_Page","2025-11-02 19:22:00","Inicio de sesion"
"182","192.168.1.16","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 19:22:34","Navegando catalogo"
"183","192.168.1.16","3","Facebook","vista_Jean_Slim_Negro","2025-11-02 19:22:57","Navegando catalogo"
"184","192.168.1.16","3","Facebook","vista_Zapatillas_Urban","2025-11-02 19:23:31","Navegando catalogo"
"185","192.168.1.16","2","Facebook","btn_agregar_carrito","2025-11-02 19:23:33","Interaccion interfaz"
"186","192.168.1.16","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 19:23:42","Navegando catalogo"
"187","192.168.1.16","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 19:24:22","Navegando catalogo"
"188","192.168.1.16","2","Facebook","link_menu_hombres","2025-11-02 19:24:24","Interaccion interfaz"
"189","192.168.1.16","4","Facebook","btn_finalizar_pago_exitoso","2025-11-02 19:24:49","Venta Exitosa"
"190","192.168.1.7","1","Instagram Bio","Home_Page","2025-11-02 20:54:00","Inicio de sesion"
"191","192.168.1.7","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-02 20:54:23","Navegando catalogo"
"192","192.168.1.5","1","Facebook","Home_Page","2025-11-02 21:24:00","Inicio de sesion"
"193","192.168.1.5","3","Facebook","vista_Zapatillas_Urban","2025-11-02 21:24:42","Navegando catalogo"
"194","192.168.1.5","2","Facebook","img_zoom","2025-11-02 21:24:44","Interaccion interfaz"
"195","192.168.1.5","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 21:24:54","Navegando catalogo"
"196","192.168.1.5","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 21:25:15","Navegando catalogo"
"197","192.168.1.5","2","Facebook","btn_agregar_carrito","2025-11-02 21:25:17","Interaccion interfaz"
"198","192.168.1.5","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 21:25:42","Navegando catalogo"
"199","192.168.1.5","3","Facebook","vista_Zapatillas_Urban","2025-11-02 21:26:11","Navegando catalogo"
"200","192.168.1.5","4","Facebook","btn_finalizar_pago_exitoso","2025-11-02 21:26:27","Venta Exitosa"
"201","192.168.1.6","1","Directo","Home_Page","2025-11-02 22:10:00","Inicio de sesion"
"202","192.168.1.6","3","Directo","vista_Jean_Slim_Negro","2025-11-02 22:10:40","Navegando catalogo"
"203","192.168.1.6","3","Directo","vista_Chaqueta_Cuero","2025-11-02 22:11:10","Navegando catalogo"
"204","192.168.1.6","2","Directo","btn_ver_tallas","2025-11-02 22:11:12","Interaccion interfaz"
"205","192.168.1.6","3","Directo","vista_Chaqueta_Cuero","2025-11-02 22:11:45","Navegando catalogo"
"206","192.168.1.6","3","Directo","vista_Zapatillas_Urban","2025-11-02 22:12:13","Navegando catalogo"
"207","192.168.1.6","3","Directo","vista_Chaqueta_Cuero","2025-11-02 22:12:39","Navegando catalogo"
"208","192.168.1.6","4","Directo","btn_finalizar_pago_exitoso","2025-11-02 22:13:27","Venta Exitosa"
"209","192.168.1.46","1","Newsletter","Home_Page","2025-11-02 22:34:00","Inicio de sesion"
"210","192.168.1.46","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 22:34:18","Navegando catalogo"
"211","192.168.1.46","3","Newsletter","vista_Zapatillas_Urban","2025-11-02 22:34:24","Navegando catalogo"
"212","192.168.1.46","2","Newsletter","link_menu_hombres","2025-11-02 22:34:26","Interaccion interfaz"
"213","192.168.1.43","1","Google Ads","Home_Page","2025-11-02 23:27:00","Inicio de sesion"
"214","192.168.1.43","3","Google Ads","vista_Zapatillas_Urban","2025-11-02 23:27:17","Navegando catalogo"
"215","192.168.1.43","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 23:27:52","Navegando catalogo"
"216","192.168.1.43","2","Google Ads","btn_ver_tallas","2025-11-02 23:27:54","Interaccion interfaz"
"217","192.168.1.16","1","Google Ads","Home_Page","2025-11-03 00:31:00","Inicio de sesion"
"218","192.168.1.16","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 00:31:36","Navegando catalogo"
"219","192.168.1.16","2","Google Ads","btn_agregar_carrito","2025-11-03 00:31:38","Interaccion interfaz"
"220","192.168.1.16","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 00:31:55","Navegando catalogo"
"221","192.168.1.16","2","Google Ads","btn_agregar_carrito","2025-11-03 00:31:57","Interaccion interfaz"
"222","192.168.1.16","3","Google Ads","vista_Jean_Slim_Negro","2025-11-03 00:32:13","Navegando catalogo"
"223","192.168.1.16","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 00:32:19","Navegando catalogo"
"224","192.168.1.16","2","Google Ads","link_menu_hombres","2025-11-03 00:32:21","Interaccion interfaz"
"225","192.168.1.16","5","Google Ads","btn_cancelar_checkout","2025-11-03 00:32:34","Abandono en pago"
"226","192.168.1.39","1","Google Ads","Home_Page","2025-11-03 02:45:00","Inicio de sesion"
"227","192.168.1.39","3","Google Ads","vista_Jean_Slim_Negro","2025-11-03 02:45:16","Navegando catalogo"
"228","192.168.1.39","3","Google Ads","vista_Jean_Slim_Negro","2025-11-03 02:46:01","Navegando catalogo"
"229","192.168.1.39","2","Google Ads","link_menu_hombres","2025-11-03 02:46:03","Interaccion interfaz"
"230","192.168.1.39","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 02:46:36","Navegando catalogo"
"231","192.168.1.30","1","Google Ads","Home_Page","2025-11-03 05:17:00","Inicio de sesion"
"232","192.168.1.30","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-03 05:17:33","Navegando catalogo"
"233","192.168.1.30","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-03 05:18:07","Navegando catalogo"
"234","192.168.1.28","1","Google Ads","Home_Page","2025-11-03 05:44:00","Inicio de sesion"
"235","192.168.1.28","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-03 05:44:07","Navegando catalogo"
"236","192.168.1.28","2","Google Ads","btn_ver_tallas","2025-11-03 05:44:09","Interaccion interfaz"
"237","192.168.1.28","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-03 05:44:48","Navegando catalogo"
"238","192.168.1.28","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 05:45:05","Navegando catalogo"
"239","192.168.1.28","2","Google Ads","btn_agregar_carrito","2025-11-03 05:45:07","Interaccion interfaz"
"240","192.168.1.28","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 05:45:24","Navegando catalogo"
"241","192.168.1.28","5","Google Ads","btn_cancelar_checkout","2025-11-03 05:45:37","Abandono en pago"
"242","192.168.1.33","1","Facebook","Home_Page","2025-11-03 06:44:00","Inicio de sesion"
"243","192.168.1.33","3","Facebook","vista_Chaqueta_Cuero","2025-11-03 06:44:43","Navegando catalogo"
"244","192.168.1.33","2","Facebook","link_menu_hombres","2025-11-03 06:44:45","Interaccion interfaz"
"245","192.168.1.39","1","Newsletter","Home_Page","2025-11-03 09:40:00","Inicio de sesion"
"246","192.168.1.39","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-03 09:40:18","Navegando catalogo"
"247","192.168.1.39","2","Newsletter","link_menu_hombres","2025-11-03 09:40:20","Interaccion interfaz"
"248","192.168.1.39","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-03 09:40:25","Navegando catalogo"
"249","192.168.1.39","2","Newsletter","link_menu_hombres","2025-11-03 09:40:27","Interaccion interfaz"
"250","192.168.1.39","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-03 09:40:34","Navegando catalogo"
"251","192.168.1.39","2","Newsletter","btn_ver_tallas","2025-11-03 09:40:36","Interaccion interfaz"
"252","192.168.1.39","1","Directo","Home_Page","2025-11-03 12:31:00","Inicio de sesion"
"253","192.168.1.39","3","Directo","vista_Vestido_Verano_Floral","2025-11-03 12:31:44","Navegando catalogo"
"254","192.168.1.39","3","Directo","vista_Vestido_Verano_Floral","2025-11-03 12:32:13","Navegando catalogo"
"255","192.168.1.39","2","Directo","btn_agregar_carrito","2025-11-03 12:32:15","Interaccion interfaz"
"256","192.168.1.39","3","Directo","vista_Vestido_Verano_Floral","2025-11-03 12:32:45","Navegando catalogo"
